"","Year","Quarter","r.State","r.Prob.1","r.Prob.2","v.State","v.Prob.1","v.Prob.2"
"1",2008,2,1,0.998930845941724,0.00106915405827639,1,0.805032095316947,0.194967904683053
"2",2008,3,2,0.985999787516535,0.0140002124834655,2,0.878705058403129,0.121294941596871
"3",2008,4,1,0.893424143514955,0.106575856485045,1,0.951355306819528,0.0486446931804723
"4",2009,1,2,0.00249271101100992,0.99750728898899,1,0.961603121746138,0.038396878253862
"5",2009,2,1,1.49662734527656e-06,0.999998503372655,2,0.451893939240719,0.548106060759281
"6",2009,3,1,5.16809267613327e-05,0.999948319073239,1,0.103342876111342,0.896657123888657
"7",2009,4,1,5.19910739794627e-05,0.999948008926021,1,1.51152896743501e-05,0.999984884710326
"8",2010,1,1,0.00301693516430523,0.996983064835695,1,3.12714631967026e-10,0.999999999687285
"9",2010,2,1,0.272001379309088,0.727998620690912,2,9.81759132638324e-08,0.999999901824087
"10",2010,3,1,0.068491006716525,0.931508993283475,1,0.0274535274171154,0.972546472582885
"11",2010,4,2,0.599336844003745,0.400663155996255,2,0.589716346538075,0.410283653461925
"12",2011,1,1,0.993764998442419,0.00623500155758119,1,0.213420630480294,0.786579369519706
"13",2011,2,1,0.999270382651444,0.000729617348556036,1,0.0765079773234623,0.923492022676538
"14",2011,3,1,0.999675443931885,0.0003245560681147,1,0.0822501312369143,0.917749868763086
"15",2011,4,1,0.998287225300367,0.00171277469963258,2,0.406154158552144,0.593845841447856
"16",2012,1,1,0.995449420009345,0.00455057999065528,2,0.832094262798016,0.167905737201984
"17",2012,2,1,0.962472160166322,0.0375278398336783,1,0.950719576476408,0.0492804235235921
"18",2012,3,2,0.944663422447333,0.0553365775526673,1,0.988868292743361,0.0111317072566394
"19",2012,4,1,0.984124170401782,0.0158758295982184,1,0.991931720286754,0.00806827971324555
"20",2013,1,1,0.996399079409591,0.00360092059040901,1,0.990529226301113,0.00947077369888683
"21",2013,2,2,0.986884951220321,0.0131150487796787,1,0.960363026136239,0.0396369738637605
"22",2013,3,2,0.961232902389739,0.0387670976102606,2,0.991439750130594,0.00856024986940584
"23",2013,4,2,0.985819734870943,0.0141802651290575,1,0.992636582639703,0.00736341736029704
"24",2014,1,1,0.987904380636774,0.0120956193632258,1,0.990728256644522,0.00927174335547826
"25",2014,2,2,0.987582837393165,0.0124171626068346,2,0.969659917202854,0.0303400827971457
"26",2014,3,1,0.996860657949239,0.00313934205076065,1,0.967825920032694,0.0321740799673062
"27",2014,4,2,0.990195161374518,0.00980483862548176,1,0.993922380678296,0.00607761932170419
"28",2015,1,2,0.990566845275378,0.00943315472462192,2,0.992078497544908,0.00792150245509216
"29",2015,2,1,0.99696606717863,0.00303393282136965,1,0.993658744875048,0.00634125512495236
"30",2015,3,2,0.998322604883379,0.00167739511662135,2,0.993017256981088,0.00698274301891166
"31",2015,4,1,0.993698357623241,0.00630164237675917,2,0.994263750027818,0.00573624997218214
"32",2016,1,1,0.985836437435343,0.0141635625646574,2,0.990284874523025,0.00971512547697528
"33",2016,2,2,0.958828552277126,0.0411714477228738,1,0.99427089306609,0.00572910693391029
"34",2016,3,1,0.962320794054108,0.0376792059458918,2,0.990282420663365,0.00971757933663497
"35",2016,4,2,0.967165708208927,0.0328342917910728,2,0.990652075650765,0.0093479243492347
